id,name,description,type,online,ecommerce,url,physical,lat,lng
97,Huerto cuña verde Moratalaz 1,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-cuna-verde-moratalaz/,YES,-,-
98,Huerto Cuña Verde Moratalaz 2,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-cuna-verde-moratalaz-2/,YES,-,-
99,Huerto Comunitario Pavones,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-comunitario-pavones/,YES,-,-
100,Huerta Solidaria Rsp,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerta-solidaria-rsp/,YES,-,-
101,Huerta Solar,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerta-solar/,YES,-,-
102,Huerto el Paraiso,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-el-paraiso/,YES,-,-
103,Huerto Montecarmelo II,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-montecarmelo-ii/,YES,-,-
104,Vicálvaro II,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/vicalvaro-ii/,YES,-,-
105,Huerto La Vicalvarada,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-la-vicalvarada/,YES,-,-
106,Halcón Pradolongo,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/halcon-pradolongo/,YES,-,-
107,Huerto Pachamama,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-pachamama/,YES,-,-
108,huerta Los Pinos,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerta-los-pinos/,YES,-,-
